Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Mechanical Engineering Syllabus & Notes","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Official MSBTE K-Scheme Syllabus and Notes for Mechanical Engineering.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering.html",,"Mechanical Engineering, K-Scheme, Syllabus"
"Mechanical Engineering Semester 1","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 1.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-1.html",,"Mechanical Engineering, Semester 1, K-Scheme"
"ENGINEERING GRAPHICS (311006)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERING GRAPHICS.","https://msbtenotes-info.netlify.app/Branches/311006-engineering-graphics.html",,"311006, Electrical Engineering, Semester 1, K-Scheme"
"ENGINEERING WORKSHOP PRACTICE (311005)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERING WORKSHOP PRACTICE.","https://msbtenotes-info.netlify.app/Branches/311005-engineering-workshop-practice.html",,"311005, Electrical Engineering, Semester 1, K-Scheme"
"Mechanical Engineering Semester 2","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 2.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-2.html",,"Mechanical Engineering, Semester 2, K-Scheme"
"APPLIED SCIENCE (312308)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for APPLIED SCIENCE.","https://msbtenotes-info.netlify.app/Branches/312308-applied-science.html",,"312308, Electrical Engineering, Semester 2, K-Scheme"
"ENGINEERING DRAWING (312311)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERING DRAWING.","https://msbtenotes-info.netlify.app/Branches/312311-engineering-drawing.html",,"312311, Mechanical Engineering, Semester 2, K-Scheme"
"ENGINEERING MECHANICS (312312)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERING MECHANICS.","https://msbtenotes-info.netlify.app/Branches/312312-engineering-mechanics.html",,"312312, Mechanical Engineering, Semester 2, K-Scheme"
"MANUFACTURING TECHNOLOGY (312313)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for MANUFACTURING TECHNOLOGY.","https://msbtenotes-info.netlify.app/Branches/312313-manufacturing-technology.html",,"312313, Mechanical Engineering, Semester 2, K-Scheme"
"Mechanical Engineering Semester 3","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 3.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-3.html",,"Mechanical Engineering, Semester 3, K-Scheme"
